Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				3.16383e+06	3.08574e+06	363597	316151	328000	3.08115e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.69047e+06	4.84346e+06	384982	499264	669047	4.55318e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.90457e+06	3.91492e+06	887468	811115	712696	3.55975e+06
P00350	P00350		gnd		3.84468e+07	3.8041e+07	3.72602e+07	3.74057e+07	3.77778e+07	3.65193e+07
P00363	P00363		frdA		3.21812e+07	3.22175e+07	3.22172e+07	3.19119e+07	3.24595e+07	3.08874e+07
P00370	P00370		gdhA		2.3989e+06	2.30886e+06	2.4101e+06	2.3734e+06	2.48958e+06	2.37074e+06
P00393	P00393		ndh		6.0764e+06	5.99832e+06	5.91093e+06	6.04928e+06	5.85414e+06	5.86404e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.30272e+06	2.25323e+06	606981	624298	625120	1.94517e+06
P00448	P00448		sodA		2.56651e+06	2.66934e+06	2.5343e+06	2.48124e+06	2.53872e+06	2.68846e+06
P00452	P00452		nrdA		1.00552e+07	1.00391e+07	9.9877e+06	9.89217e+06	9.99215e+06	9.92269e+06
P00490	P00490		malP		5.09906e+06	5.00382e+06	4.83675e+06	4.89349e+06	4.87308e+06	4.58994e+06
P00509	P00509		aspC		1.93835e+07	1.94374e+07	1.91842e+07	1.87958e+07	1.90183e+07	1.87755e+07
P00547	P00547		thrB		1.01669e+06	1.01031e+06	1.01701e+06	990384	1.00833e+06	872468
P00550	P00550		mtlA		1.42914e+06	1.51008e+06	1.50675e+06	1.44526e+06	1.49284e+06	1.36628e+06
P00561	P00561		thrA		2.27943e+06	2.32509e+06	2.37925e+06	2.30709e+06	2.3916e+06	2.35852e+06
P00562	P00562		metL		3.06111e+06	3.0987e+06	3.00213e+06	3.06182e+06	3.01652e+06	3.09223e+06
P00579	P00579		rpoD		8.57943e+06	8.60346e+06	8.38286e+06	8.60264e+06	8.87027e+06	8.01423e+06
P00582	P00582		polA		3.54555e+06	3.47893e+06	3.49076e+06	3.57781e+06	3.41189e+06	3.25152e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.2805e+06	1.31523e+06	842071	733344	948395	1.20666e+06
P00803	P00803		lepB		4.85726e+06	5.30674e+06	5.10241e+06	5.1564e+06	5.12628e+06	5.42607e+06
P00805	P00805		ansB		2.15761e+07	2.15648e+07	2.1697e+07	2.20436e+07	2.18784e+07	1.92933e+07
P00811	P00811		ampC		1.13379e+06	1.22837e+06	1.16124e+06	1.0405e+06	1.15283e+06	1.31915e+06
P00861	P00861		lysA		770764	884596	757589	623147	737350	810175
P00864	P00864		ppc		1.15544e+07	1.17431e+07	1.14156e+07	1.14737e+07	1.15191e+07	1.03336e+07
P00887	P00887		aroH		1.57018e+06	1.47055e+06	1.54825e+06	1.58551e+06	1.49968e+06	1.62629e+06
P00888	P00888		aroF		2.15373e+06	2.05342e+06	2.00558e+06	2.07999e+06	2.0556e+06	1.88256e+06
P00892	P00892		ilvG		1.08182e+06	1.16566e+06	1.24119e+06	1.13672e+06	1.14051e+06	931456
P00894	P00894		ilvH		839900	731383	785692	842800	876792	876655
P00914	P00914		phrB		648039	665698	626279	619480	600390	786643
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.04281e+07	1.03217e+07	4.87848e+06	5.85272e+06	4.91589e+06	9.33879e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.05766e+07	1.118e+07	1.2797e+06	1.39348e+06	1.15864e+06	1.03504e+07
P00926	P00926		dsdA		1.4114e+06	1.44319e+06	1.318e+06	1.37314e+06	1.2888e+06	1.20089e+06
P00934	P00934		thrC		4.55961e+06	4.55183e+06	4.44278e+06	4.59544e+06	4.52771e+06	4.27137e+06
P00935	P00935		metB		2.12221e+06	2.11972e+06	2.39185e+06	2.49666e+06	2.35688e+06	2.13692e+06
P00936	P00936		cyaA		971836	965250	758130	775407	833693	1.04742e+06
P00946	P00946		manA		1.13208e+07	1.14375e+07	1.14007e+07	1.12193e+07	1.16338e+07	1.15777e+07
P00954	P00954		trpS		1.44999e+07	1.39575e+07	1.42693e+07	1.4611e+07	1.44409e+07	1.37513e+07
P00956	P00956		ileS		2.14261e+07	2.1383e+07	2.14603e+07	2.10112e+07	2.19944e+07	1.94669e+07
P00957	P00957		alaS		1.90782e+07	1.91049e+07	1.93133e+07	1.95201e+07	1.94515e+07	1.7403e+07
P00959	P00959		metG		1.87707e+07	1.87794e+07	1.92304e+07	1.89633e+07	1.83981e+07	1.68123e+07
P00960	P00960		glyQ		4.54837e+06	4.60707e+06	4.43207e+06	4.36414e+06	4.26171e+06	4.66681e+06
P00961	P00961		glyS		1.41396e+07	1.42432e+07	1.39064e+07	1.37966e+07	1.39799e+07	1.33343e+07
P00962	P00962		glnS		1.10913e+07	1.10684e+07	1.09021e+07	1.07883e+07	1.09301e+07	9.89337e+06
P00963	P00963		asnA		2.50255e+07	2.48369e+07	2.46643e+07	2.43391e+07	2.48716e+07	2.31466e+07
P00968	P00968		carB		4.46771e+06	4.50442e+06	4.45946e+06	4.43229e+06	4.45076e+06	4.53658e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				6.31939e+06	6.07025e+06	900212	916091	838846	6.29132e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.04317e+06	5.0189e+06	594829	1.05216e+06	631103	4.39195e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				4.55961e+06	4.46987e+06	717299	587982	594701	4.1454e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.50486e+07	1.49861e+07	1.99293e+06	3.43946e+06	1.89506e+06	1.51838e+07
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3.88385e+06	3.7941e+06	1.25498e+06	764918		3.99269e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				8.0598e+06	7.9005e+06	802145	785587	778739	8.86042e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				2.82375e+06	2.79134e+06	391947	514044	213844	2.54974e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				4.37761e+06	4.27269e+06	2.29562e+06	2.46101e+06	1.2625e+06	4.04019e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				5.99562e+06	6.41763e+06	581073	601442	495468	5.62066e+06
P02358	P02358		rpsF		1.10772e+08	1.06538e+08	1.16144e+08	1.17337e+08	1.12457e+08	7.98403e+07
P02359	P02359		rpsG		1.6471e+08	1.66927e+08	1.71194e+08	1.66972e+08	1.66169e+08	1.62891e+08
P02413	P02413		rplO		1.25707e+08	1.25874e+08	1.28114e+08	1.26951e+08	1.26392e+08	1.13581e+08
