Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P33937	P33937		napA		4.57025e+06	4.61507e+06	4.59054e+06	4.56827e+06	4.61629e+06	4.56438e+06
P35340	P35340		ahpF		9.67443e+06	9.73639e+06	9.37957e+06	9.29893e+06	9.17012e+06	8.80615e+06
P36548	P36548		amiA		1.7829e+06	1.65827e+06	1.63832e+06	1.70302e+06	1.59502e+06	2.01047e+06
P36553	P36553		hemF		839160	798833	826065		1.02296e+06	874279
P36566	P36566		smtA		569856	557236	448904	440398	478016	544516
P36659	P36659		cbpA		3.37011e+06	3.23966e+06	2.90043e+06	3.17241e+06	3.08016e+06	3.12043e+06
P36672	P36672		treB		1.02713e+06	914138	1.05195e+06	960040	988044	913389
P36680	P36680		zapD		2.80967e+06	2.79924e+06	2.52577e+06	2.55639e+06	2.61734e+06	2.75916e+06
P36683	P36683		acnB		1.02256e+07	1.03326e+07	1.06058e+07	1.01934e+07	1.01333e+07	1.0301e+07
P36767	P36767		rdgC		4.96766e+06	5.1289e+06	5.30909e+06	5.38369e+06	5.51613e+06	5.34746e+06
P36879	P36879		yadG		1.02922e+06	1.05981e+06	1.11393e+06	1.00836e+06	1.12531e+06	984627
P36928	P36928		yegD		1.14159e+06	1.11337e+06	1.08521e+06	1.08274e+06	1.10511e+06	1.17983e+06
P36929	P36929		rsmB		2.60918e+06	2.76539e+06	2.91425e+06	3.09207e+06	3.03856e+06	3.02795e+06
P36930	P36930		gatR		748937	710776	623827	634200	511087	734932
P36938	P36938		pgm		9.0908e+06	9.11983e+06	9.25913e+06	9.22252e+06	9.11621e+06	8.23148e+06
P36979	P36979		rlmN		3.5154e+06	3.4558e+06	3.54003e+06	3.52558e+06	3.49628e+06	3.4012e+06
P36999	P36999		rlmA		1.10778e+06	1.01044e+06	1.05208e+06	997304	936366	836576
P37005	P37005		lasT		1.172e+06	1.18078e+06	1.26636e+06	1.18279e+06	1.1803e+06	1.27875e+06
P37028	P37028		btuF		662556	614458	619444	563660	463740	615719
P37051	P37051		purU		5.73232e+06	5.66692e+06	5.87298e+06	5.8798e+06	6.06865e+06	5.77165e+06
P37052	P37052		ychJ		1.47937e+06	1.42402e+06	1.51377e+06	1.54495e+06	1.6055e+06	1.36181e+06
P37095	P37095		pepB		1.481e+07	1.46458e+07	1.46756e+07	1.45412e+07	1.44732e+07	1.35677e+07
P37128	P37128		nudK		3.77189e+06	3.67813e+06	4.00623e+06	4.10321e+06	4.01412e+06	3.46074e+06
P37182	P37182		hybD		3.72228e+06	3.79485e+06	3.69485e+06	3.57141e+06	3.69856e+06	3.88928e+06
P37194	P37194		slp		5.01465e+07	4.91489e+07	4.71295e+07	4.67995e+07	4.80046e+07	4.66358e+07
P37329	P37329		modA		4.03956e+06	4.00449e+06	4.10522e+06	3.79756e+06	3.97066e+06	3.69561e+06
P37330	P37330		glcB		1.80541e+06	1.85972e+06	1.84924e+06	1.93092e+06	1.92926e+06	1.49023e+06
P37342	P37342		yjjI		2.91616e+06	2.93157e+06	2.84783e+06	2.87553e+06	2.79073e+06	2.92693e+06
P37349	P37349		dhaM		7.7129e+07	7.74349e+07	7.60045e+07	7.85549e+07	7.70331e+07	7.95484e+07
P37440	P37440		ucpA		7.63797e+06	7.73244e+06	7.37807e+06	7.7113e+06	7.95713e+06	7.21959e+06
P37590	P37590		pmrD		1.7356e+06	2.34961e+06	2.20172e+06	2.01281e+06	2.30562e+06	1.76814e+06
P37613	P37613		yhhK		4.35841e+06	4.40119e+06	4.60706e+06	4.51789e+06	4.68006e+06	4.04424e+06
P37617	P37617		zntA		1.98532e+06	2.02105e+06	1.96647e+06	2.04753e+06	2.04896e+06	2.09246e+06
P37626	P37626		yhiI		660173	824209	663838	639685	549487	690591
P37631	P37631		yhiN		1.21977e+06	1.20269e+06	1.21057e+06	1.10714e+06	1.21854e+06	1.32634e+06
P37634	P37634		rlmJ		5.52195e+06	5.34232e+06	5.92639e+06	5.69358e+06	5.9006e+06	5.3911e+06
P37636	P37636		mdtE		3.71084e+06	3.75111e+06	3.56809e+06	3.46946e+06	3.51206e+06	3.73623e+06
P37647	P37647		kdgK		1.83387e+06	1.69095e+06	1.82485e+06	1.82766e+06	1.81178e+06	1.97992e+06
P37648	P37648		yhjJ		3.26121e+06	3.2257e+06	3.15068e+06	3.06567e+06	3.10122e+06	3.3844e+06
P37650	P37650		bcsC		972760	994126	935164	980604	956787	973898
P37651	P37651		bcsZ		2.06738e+06	2.06839e+06	2.12471e+06	2.1879e+06	2.05452e+06	2.10265e+06
P37652	P37652		bcsB		3.20244e+06	3.28354e+06	3.36765e+06	3.2975e+06	3.11195e+06	3.36234e+06
P37655	P37655		bcsQ		950942	983727	1.05857e+06	916955	966976	1.02738e+06
P37657	P37657		bcsE		1.29362e+06	1.23453e+06	1.37751e+06	1.36409e+06	1.34321e+06	1.29698e+06
P37665	P37665		yiaD		5.1625e+06	5.31719e+06	5.51276e+06	5.37042e+06	5.42841e+06	4.901e+06
P37666	P37666		ghrB		1.02358e+07	1.02916e+07	1.03466e+07	1.01878e+07	1.01633e+07	9.37032e+06
P37671	P37671		yiaJ		220727	206738	172855	186752	115745	146696
P37685	P37685		aldB		1.19896e+06	1.21164e+06	1.36866e+06	1.18511e+06	1.18771e+06	1.28458e+06
P37689	P37689		gpmI		2.41552e+07	2.40497e+07	2.25285e+07	2.2443e+07	2.26954e+07	2.21999e+07
P37690	P37690		envC		2.73922e+06	2.89091e+06	2.60912e+06	2.11462e+06	9.297e+06	2.72274e+06
P37692	P37692		rfaF		3.00953e+06	2.91936e+06	2.71084e+06	2.69744e+06	2.5041e+06	3.05302e+06
P37765	P37765		rluB		4.47254e+06	4.47093e+06	4.40527e+06	4.41717e+06	4.22196e+06	4.49338e+06
P37773	P37773		mpl		7.94607e+06	8.13206e+06	7.90017e+06	7.90031e+06	8.42307e+06	7.69329e+06
P37774	P37774		yecC		332372	301714	241055	218428	176413	349813
P37902	P37902		gltI		2.07103e+06	2.20163e+06	2.23653e+06	2.1408e+06	2.1825e+06	2.03316e+06
P37903	P37903		uspF		8.15959e+06	8.43252e+06	8.66458e+06	8.54915e+06	8.28837e+06	8.70228e+06
P37908	P37908		yfjD		611130	678558	635624	623518	549106	665610
P38038	P38038		cysJ		3.66453e+06	3.6453e+06	3.60087e+06	3.57032e+06	3.64363e+06	3.65568e+06
