Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P08839|PT1_ECOLI Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	DECOY_sp|P08839|PT1_ECOLI Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1				5.31976e+06	5.15011e+06	5.23523e+06	5.04355e+06	5.20764e+06	5.2576e+06
DECOY_sp|P0A9Q7|ADHE_ECOLI Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	DECOY_sp|P0A9Q7|ADHE_ECOLI Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2				3.8813e+06	4.0364e+06	4.7624e+06	4.1095e+06	4.29791e+06	5.19679e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.22497e+07	2.23835e+07	2.73896e+07	2.32888e+07	2.46534e+07	2.59008e+07
DECOY_sp|P0AAB4|UBID_ECOLI 3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1	DECOY_sp|P0AAB4|UBID_ECOLI 3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1				1.39201e+07	1.52658e+07	1.59065e+07	1.59151e+07	1.48925e+07	1.503e+07
DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2	DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2				1.74514e+06	1.75162e+06	1.96152e+06	1.77125e+06	2.08893e+06	2.04483e+06
DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2				712833			521591		
DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3	DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3				809057	790711	835015	841565	769438	825344
DECOY_sp|P15042|DNLJ_ECOLI DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2	DECOY_sp|P15042|DNLJ_ECOLI DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2				2.31454e+06	2.41013e+06	2.63076e+06	2.27478e+06	2.4066e+06	2.55402e+06
DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2				1.30604e+06	1.27074e+06	1.15549e+06	947991		1.21034e+06
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				3.81204e+06	3.92765e+06	4.04023e+06	4.32406e+06	3.93907e+06	4.13916e+06
DECOY_sp|P32721|ALSA_ECOLI D-allose import ATP-binding protein AlsA OS=Escherichia coli (strain K12) GN=alsA PE=3 SV=2	DECOY_sp|P32721|ALSA_ECOLI D-allose import ATP-binding protein AlsA OS=Escherichia coli (strain K12) GN=alsA PE=3 SV=2				1.95166e+06	1.88662e+06	1.87084e+06	1.84521e+06	2.11254e+06	1.97247e+06
DECOY_sp|P37009|FBPC_ECOLI Fe(3+) ions import ATP-binding protein FbpC OS=Escherichia coli (strain K12) GN=fbpC PE=3 SV=3	DECOY_sp|P37009|FBPC_ECOLI Fe(3+) ions import ATP-binding protein FbpC OS=Escherichia coli (strain K12) GN=fbpC PE=3 SV=3				736512					
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				1.54706e+06	1.52396e+06	1.35018e+06	1.43651e+06	1.36974e+06	1.4314e+06
DECOY_sp|P76399|MDTC_ECOLI Multidrug resistance protein MdtC OS=Escherichia coli (strain K12) GN=mdtC PE=1 SV=1	DECOY_sp|P76399|MDTC_ECOLI Multidrug resistance protein MdtC OS=Escherichia coli (strain K12) GN=mdtC PE=1 SV=1				286770	269621	326286	277654	356789	323540
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.82804e+06	1.90127e+06	1.97652e+06	1.95773e+06	1.921e+06	1.87681e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				2.68935e+06	2.75284e+06	3.19082e+06	2.60298e+06	2.93752e+06	3.13107e+06
DECOY_sp|P77694|YAGW_ECOLI Uncharacterized protein YagW OS=Escherichia coli (strain K12) GN=yagW PE=1 SV=1	DECOY_sp|P77694|YAGW_ECOLI Uncharacterized protein YagW OS=Escherichia coli (strain K12) GN=yagW PE=1 SV=1				614154	626496		611919	519064	771071
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.43286e+06	1.36299e+06		1.40149e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.45313e+06	2.21822e+06		2.1515e+06	797343	
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.75951e+06	2.68846e+06		2.74383e+06		
P00350	P00350		gnd		3.40153e+07	3.38156e+07	3.33503e+07	3.36722e+07	3.38083e+07	3.33558e+07
P00363	P00363		frdA		4.72493e+07	4.7596e+07	4.45078e+07	4.65854e+07	4.55669e+07	4.56156e+07
P00370	P00370		gdhA		1.9717e+06	1.90141e+06	2.03461e+06	1.94204e+06	1.98064e+06	2.07754e+06
P00393	P00393		ndh		5.3577e+06	5.37123e+06	5.45624e+06	5.37375e+06	5.41962e+06	5.53921e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.31396e+06	1.35382e+06	815315	1.3556e+06	697363	744333
P00448	P00448		sodA		3.4142e+06	3.38712e+06	3.49783e+06	3.44254e+06	3.54633e+06	3.35682e+06
P00452	P00452		nrdA		9.56373e+06	9.55006e+06	9.63837e+06	9.47127e+06	9.76716e+06	9.71225e+06
P00490	P00490		malP		5.93394e+06	5.92761e+06	5.70305e+06	5.8373e+06	5.64153e+06	5.68009e+06
P00509	P00509		aspC		1.86291e+07	1.84189e+07	1.83792e+07	1.84615e+07	1.87605e+07	1.86177e+07
P00550	P00550		mtlA		716421	704206	715429	692111	704841	716610
P00561	P00561		thrA		2.54791e+06	2.47658e+06	2.57764e+06	2.53835e+06	2.7252e+06	2.54939e+06
P00562	P00562		metL		3.03473e+06	2.92018e+06	2.87436e+06	3.05069e+06	2.83639e+06	2.90643e+06
P00579	P00579		rpoD		8.72172e+06	8.44887e+06	8.34689e+06	8.26627e+06	8.15577e+06	8.39232e+06
P00582	P00582		polA		4.32837e+06	4.2607e+06	4.27707e+06	4.17576e+06	4.26326e+06	4.19052e+06
P00803	P00803		lepB		4.68329e+06	4.71422e+06	4.60316e+06	4.72145e+06	5.04876e+06	4.64837e+06
P00805	P00805		ansB		2.057e+07	2.12721e+07	2.10058e+07	2.09477e+07	2.1276e+07	2.06728e+07
