Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.42563e+06	2.68326e+06	2.32346e+06	2.38861e+06	2.0882e+06	1.93352e+06
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				7.54231e+06	7.38063e+06	6.33701e+06	7.02218e+06	7.2483e+06	7.30363e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.23498e+07	2.26461e+07	2.34633e+07	2.31166e+07	2.30355e+07	2.30499e+07
DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2				581084		520796			
DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2				1.15427e+06	1.28442e+06	979346	1.36134e+06	1.28491e+06	1.28373e+06
DECOY_sp|P28634|TSAA_ECOLI Probable tRNA (adenine(37)-N6)-methyltransferase OS=Escherichia coli (strain K12) GN=tsaA PE=1 SV=2	DECOY_sp|P28634|TSAA_ECOLI Probable tRNA (adenine(37)-N6)-methyltransferase OS=Escherichia coli (strain K12) GN=tsaA PE=1 SV=2				1.75074e+06	2.34153e+06	2.57418e+06	3.04357e+06		3.19092e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				1.39315e+06	1.3575e+06	1.34175e+06	1.29161e+06	1.28714e+06	1.32346e+06
DECOY_sp|P39361|SGCR_ECOLI Putative sgc region transcriptional regulator OS=Escherichia coli (strain K12) GN=sgcR PE=4 SV=1	DECOY_sp|P39361|SGCR_ECOLI Putative sgc region transcriptional regulator OS=Escherichia coli (strain K12) GN=sgcR PE=4 SV=1				863786	974955	897190	1.21226e+06	1.2562e+06	1.05499e+06
DECOY_sp|P69826|PTMCB_ECOLI PTS system mannitol-specific cryptic EIICB component OS=Escherichia coli (strain K12) GN=cmtA PE=3 SV=1	DECOY_sp|P69826|PTMCB_ECOLI PTS system mannitol-specific cryptic EIICB component OS=Escherichia coli (strain K12) GN=cmtA PE=3 SV=1							1.84916e+06	1.74993e+06	1.66277e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.88448e+06	1.95226e+06	2.05106e+06	1.88779e+06	1.822e+06	1.96409e+06
