Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.15381e+07			1.01354e+07		9.72994e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.75457e+07		9.78133e+07	1.61266e+06	9.69429e+07	2.01327e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	1.59386e+08	5.85363e+06	1.68638e+08		1.649e+08	2.75086e+06
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.29407e+08		1.25178e+08		1.30018e+08	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.51894e+08	3.42879e+08	3.61762e+08	3.44289e+08	3.5895e+08	3.46553e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.31893e+08	2.20183e+08	2.10756e+08	2.14263e+08	2.04036e+08	2.17497e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.43761e+07	1.48114e+07	1.39681e+07	1.49245e+07	1.52603e+07	1.50233e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	20	20	2.51373e+07	2.34862e+07	2.40482e+07	2.39269e+07	2.37284e+07	2.41277e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.90851e+07		5.79038e+07		5.6378e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.68564e+07	4.36744e+07	4.49295e+07	4.40181e+07	4.42954e+07	4.71326e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.37275e+07	4.10956e+07	4.48581e+07	4.08153e+07	4.40966e+07	4.15161e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.88952e+07	3.94975e+07	3.93723e+07	3.92506e+07	3.81327e+07	3.96144e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.69565e+07	9.54621e+07	1.04143e+08	9.68113e+07	9.84438e+07	9.63691e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.03373e+06	3.23081e+06	2.92195e+06	2.65492e+06	3.03349e+06	3.12823e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.99745e+06	3.35485e+06	3.59503e+06	3.29305e+06	3.40623e+06	3.56342e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.06398e+07	1.13591e+07	1.02732e+07	1.13469e+07	1.07284e+07	1.15467e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	6.57931e+06	6.77076e+06	6.81415e+06	6.83338e+06	6.81433e+06	6.98697e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	7.60855e+07	8.12922e+07	8.50433e+07	7.86919e+07	8.30501e+07	7.84989e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	41	41	2.28672e+07	2.33204e+07	2.28801e+07	2.31751e+07	2.24959e+07	2.30529e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	7.08505e+07		7.20745e+07		8.35057e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.50728e+07	1.41748e+07	1.43094e+07	1.45593e+07	1.54754e+07	1.45287e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.39187e+08	1.41099e+08	1.4115e+08	1.39052e+08	1.41525e+08	1.36937e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	5.30367e+06	4.81971e+06	5.51708e+06	4.80231e+06	5.22697e+06	5.45381e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.01935e+06	1.04445e+06	841429	963416	1.17582e+06	967550
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.03658e+07	6.03111e+07	6.16585e+07	6.02275e+07	6.21027e+07	6.20648e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	9.25881e+06	7.69821e+06	9.30586e+06	7.55171e+06	9.64128e+06	7.92212e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.00101e+07	1.1475e+07	1.1572e+07	1.17551e+07	1.14022e+07	1.11018e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	413980			567671	443135	592994
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.45522e+06	1.53548e+06	1.59846e+06	1.36278e+06	1.34875e+06	1.53296e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.53567e+06	1.59742e+06	1.39351e+06	1.42254e+06	1.50141e+06	1.28297e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.25795e+08		1.19909e+08		1.33211e+08	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12	1.93629e+08	3.87796e+06	1.94718e+08	4.13803e+06	1.9882e+08	3.75756e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.99162e+06	1.79186e+06	1.77799e+06	2.20316e+06	1.88227e+06	2.28943e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.64702e+07	1.70728e+07	1.6615e+07	1.70549e+07	1.77998e+07	1.66842e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	3.04069e+06	2.28045e+06	2.29032e+06	2.61989e+06	2.66573e+06	2.48733e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	3.01087e+06	2.94199e+06	2.49235e+06	2.5889e+06	3.05834e+06	2.07779e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.40173e+07	5.35594e+07	5.45884e+07	5.21908e+07	5.33535e+07	5.17066e+07
