Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.70328e+07	2.13384e+07	5.47068e+07	2.22869e+07	5.46815e+07	2.25402e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	2.14506e+08	8.02812e+07	2.09081e+08	8.76691e+07	2.1296e+08	8.80874e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	6.00817e+07	2.55336e+07	5.71201e+07	2.43619e+07	6.0904e+07	2.21322e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.82471e+08	2.8139e+08	2.80591e+08	2.88151e+08	2.6786e+08	2.78382e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.34282e+08	2.39545e+08	2.34013e+08	2.5256e+08	2.37007e+08	2.49518e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.51411e+07	1.51952e+07	1.53161e+07	1.50771e+07	1.54131e+07	1.40563e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.76089e+07	2.87066e+07	2.57103e+07	2.68931e+07	2.68265e+07	2.6484e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	3.30016e+07	1.52678e+07	3.21783e+07	1.46911e+07	3.26182e+07	1.47097e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.85066e+07	4.87113e+07	4.87439e+07	4.75102e+07	4.87191e+07	5.00257e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.30653e+07	4.63214e+07	4.30882e+07	4.29148e+07	4.32309e+07	4.25662e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.42917e+07	3.63506e+07	3.34297e+07	3.59708e+07	3.53139e+07	3.61534e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	1.00378e+08	1.00537e+08	9.92219e+07	1.00296e+08	9.98515e+07	1.00674e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.51344e+06	3.57411e+06	4.00972e+06	3.65417e+06	3.95884e+06	3.43359e+06
