Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.62765e+07	2.18398e+07	2.21998e+07	2.20144e+07	2.31355e+07	2.49334e+07
DECOY_sp|P15640|PUR2_ECOLI Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) GN=purD PE=1 SV=2	DECOY_sp|P15640|PUR2_ECOLI Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) GN=purD PE=1 SV=2									653871
DECOY_sp|P39361|SGCR_ECOLI Putative sgc region transcriptional regulator OS=Escherichia coli (strain K12) GN=sgcR PE=4 SV=1	DECOY_sp|P39361|SGCR_ECOLI Putative sgc region transcriptional regulator OS=Escherichia coli (strain K12) GN=sgcR PE=4 SV=1				1.25039e+06	1.20663e+06	1.29073e+06	1.19115e+06	1.3479e+06	1.38282e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.87867e+06	1.83078e+06	1.73869e+06	1.86213e+06	1.82824e+06	1.8046e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.18926e+06	1.38611e+06	1.27188e+06	611449	
P00350	P00350		gnd		3.4698e+07	3.52935e+07	3.50338e+07	3.48178e+07	3.5351e+07	3.4694e+07
P00363	P00363		frdA		4.79919e+07	5.08626e+07	5.0989e+07	5.05053e+07	4.93141e+07	4.88568e+07
P00370	P00370		gdhA		2.21344e+06	2.13855e+06	2.19592e+06	2.16694e+06	2.23702e+06	2.27984e+06
P00393	P00393		ndh		4.88297e+06	4.80784e+06	4.75925e+06	4.81473e+06	4.87847e+06	4.89671e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				462292	756681	773428	762696	362879	
P00448	P00448		sodA		2.77192e+06	2.96121e+06	2.83217e+06	2.75869e+06	2.87745e+06	2.83832e+06
P00452	P00452		nrdA		9.55483e+06	9.51212e+06	9.60199e+06	9.47799e+06	9.53875e+06	9.61698e+06
P00490	P00490		malP		5.63048e+06	5.57645e+06	5.60973e+06	5.57942e+06	5.47938e+06	5.52397e+06
P00509	P00509		aspC		1.77052e+07	1.75699e+07	1.75488e+07	1.76516e+07	1.75777e+07	1.75654e+07
P00547	P00547		thrB		735116	893557	919555	940989	779577	789842
P00550	P00550		mtlA		2.06793e+06	2.16316e+06	2.08039e+06	1.97849e+06	2.01642e+06	2.01606e+06
P00561	P00561		thrA		1.78394e+06	1.8811e+06	1.92454e+06	1.90841e+06	1.93233e+06	1.79708e+06
P00562	P00562		metL		2.74751e+06	2.65178e+06	2.80011e+06	2.70495e+06	2.6882e+06	2.78458e+06
P00579	P00579		rpoD		6.99558e+06	7.32344e+06	7.14801e+06	7.27057e+06	6.85577e+06	7.0517e+06
P00582	P00582		polA		3.31437e+06	3.22072e+06	3.22049e+06	3.26638e+06	3.28112e+06	3.17857e+06
P00803	P00803		lepB		4.18169e+06	4.08195e+06	3.76167e+06	3.69076e+06	4.20256e+06	3.97791e+06
P00805	P00805		ansB		1.94849e+07	1.97457e+07	1.96659e+07	1.9598e+07	1.94737e+07	1.91901e+07
P00811	P00811		ampC		2.10762e+06	2.17132e+06	2.20754e+06	2.17669e+06	2.23227e+06	2.03522e+06
P00864	P00864		ppc		1.08269e+07	1.096e+07	1.09948e+07	1.09778e+07	1.07647e+07	1.06773e+07
P00887	P00887		aroH		1.7323e+06	1.67845e+06	1.70516e+06	1.64059e+06	1.7276e+06	1.71199e+06
P00888	P00888		aroF		1.9814e+06	1.99562e+06	1.94613e+06	1.99545e+06	2.05136e+06	1.96985e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					1.38322e+06	1.3795e+06	1.34884e+06		
P00934	P00934		thrC		4.48371e+06	4.23212e+06	4.32379e+06	4.25983e+06	4.29247e+06	4.48157e+06
P00946	P00946		manA		1.07089e+07	1.09214e+07	1.09771e+07	1.05298e+07	1.06634e+07	1.09649e+07
P00954	P00954		trpS		4.9304e+06	5.1176e+06	5.09233e+06	5.08477e+06	4.89171e+06	4.85296e+06
P00956	P00956		ileS		1.83993e+07	1.91576e+07	1.95625e+07	1.90852e+07	1.83484e+07	1.83698e+07
P00957	P00957		alaS		1.43212e+07	1.43044e+07	1.41826e+07	1.43564e+07	1.45623e+07	1.39905e+07
P00959	P00959		metG		1.75122e+07	1.75035e+07	1.77995e+07	1.78818e+07	1.74485e+07	1.77756e+07
P00960	P00960		glyQ		4.80946e+06	4.54407e+06	4.4876e+06	4.59754e+06	4.75355e+06	4.69836e+06
P00961	P00961		glyS		1.04989e+07	1.07014e+07	1.09554e+07	1.0899e+07	1.0832e+07	1.09029e+07
P00962	P00962		glnS		8.27914e+06	8.49733e+06	8.60953e+06	8.50987e+06	8.3832e+06	8.36078e+06
P00963	P00963		asnA		1.33233e+07	1.3864e+07	1.41341e+07	1.39386e+07	1.33866e+07	1.34448e+07
P00968	P00968		carB		3.49982e+06	3.50924e+06	3.53563e+06	3.49589e+06	3.62761e+06	3.45571e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)					549107	526623	524890		
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)					1.51772e+06	1.47444e+06	1.35573e+06		
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)					517206	547719	489202		
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)					1.79388e+06	1.69826e+06	1.82046e+06		
