Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				588228	1.54062e+06	8.17276e+06	8.12855e+06	1.44034e+06	7.77442e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.2831e+06	723824	1.58651e+07	1.5002e+07	941642	1.59562e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					694971	1.58852e+07	1.57475e+07		1.57511e+07
P00350	P00350		gnd		3.88961e+07	3.84129e+07	3.86314e+07	3.86715e+07	3.84135e+07	3.85857e+07
P00363	P00363		frdA		2.9254e+07	2.94343e+07	2.77295e+07	2.78728e+07	2.92844e+07	2.77334e+07
P00370	P00370		gdhA		2.27452e+06	2.24101e+06	2.23619e+06	2.16243e+06	2.28604e+06	2.18994e+06
P00393	P00393		ndh		1.04905e+07	1.06401e+07	1.03703e+07	1.06031e+07	1.02721e+07	1.04945e+07
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					437698	8.09612e+06	8.04434e+06		7.91561e+06
P00448	P00448		sodA		3.55062e+06	3.51562e+06	3.43113e+06	3.50261e+06	3.45797e+06	3.43488e+06
P00452	P00452		nrdA		1.00279e+07	9.9038e+06	1.00102e+07	9.78809e+06	9.95037e+06	9.92664e+06
