Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
A5A625	A5A625		yibV		540727	548291	545684	614797		410491
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				797198	785831	467958	628288	930213	
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.31243e+06	1.40291e+06	1.33803e+06	1.25614e+06	1.09736e+06
P00350	P00350		gnd		8.70958e+07	8.87306e+07	8.81572e+07	8.74604e+07	8.85135e+07	8.8271e+07
P00363	P00363		frdA		4.83234e+07	5.07947e+07	5.1207e+07	5.05818e+07	4.90938e+07	4.85392e+07
P00370	P00370		gdhA		2.12854e+06	2.02371e+06	2.11284e+06	2.10357e+06	2.11247e+06	2.22744e+06
P00393	P00393		ndh		5.33907e+06	5.15078e+06	5.09338e+06	5.16068e+06	5.28981e+06	5.25386e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				483365	988816	1.13528e+06	1.11019e+06	615469	
P00448	P00448		sodA		3.42465e+06	3.35303e+06	3.03928e+06	3.12497e+06	3.56237e+06	3.44081e+06
P00452	P00452		nrdA		9.34228e+06	9.50061e+06	9.39401e+06	9.4451e+06	9.43259e+06	9.38802e+06
P00490	P00490		malP		5.7003e+06	5.65932e+06	5.52048e+06	5.56266e+06	5.56943e+06	5.55426e+06
P00509	P00509		aspC		1.76827e+07	1.77786e+07	1.77216e+07	1.75678e+07	1.734e+07	1.74033e+07
P00547	P00547		thrB		816604	942810	940817	962140	933640	859690
P00550	P00550		mtlA		1.47025e+06	1.43626e+06	1.45189e+06	1.53626e+06	1.41903e+06	1.46808e+06
P00561	P00561		thrA		2.35766e+06	2.43857e+06	2.40771e+06	2.34206e+06	2.49032e+06	2.39661e+06
P00562	P00562		metL		2.63195e+06	2.6129e+06	2.71188e+06	2.64375e+06	2.61022e+06	2.64202e+06
P00579	P00579		rpoD		7.53283e+06	7.88921e+06	8.03384e+06	7.99784e+06	7.45833e+06	7.62236e+06
P00582	P00582		polA		5.02259e+06	4.95232e+06	4.9502e+06	4.99799e+06	5.10218e+06	4.91811e+06
P00803	P00803		lepB		4.66952e+06	4.86514e+06	4.39296e+06	4.66464e+06	5.05868e+06	4.4714e+06
P00805	P00805		ansB		1.18738e+07	1.18339e+07	1.18259e+07	1.1865e+07	1.18645e+07	1.17329e+07
P00811	P00811		ampC		935501	904479	935879	909294	928904	898589
P00861	P00861		lysA		564279	636064	674045	626071	753922	784731
P00864	P00864		ppc		2.79707e+07	2.8122e+07	2.84185e+07	2.82405e+07	2.80047e+07	2.75735e+07
P00887	P00887		aroH		2.64946e+06	2.73979e+06	2.86404e+06	2.80379e+06	2.8817e+06	2.89476e+06
P00888	P00888		aroF		2.01849e+06	1.9252e+06	2.00477e+06	2.03352e+06	2.00729e+06	1.88828e+06
P00892	P00892		ilvG		1.21965e+06	1.08319e+06	1.26047e+06	1.15365e+06	1.00479e+06	1.28948e+06
P00914	P00914		phrB		788356	675873	764298	710432	773536	737390
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				992014	992058	835134	845158	1.03344e+06	919660
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					1.34131e+06	1.40442e+06	1.34281e+06		
P00926	P00926		dsdA		1.37313e+06	1.29325e+06	1.30851e+06	1.33294e+06	1.38173e+06	1.29193e+06
P00934	P00934		thrC		4.42625e+06	4.29121e+06	4.18048e+06	4.31224e+06	4.43807e+06	4.31722e+06
P00935	P00935		metB		2.10115e+06	2.32403e+06	1.92129e+06	1.96773e+06	2.26046e+06	1.85367e+06
P00946	P00946		manA		1.06035e+07	1.11601e+07	1.08329e+07	1.0742e+07	1.05488e+07	1.0867e+07
P00954	P00954		trpS		1.30979e+07	1.36435e+07	1.31914e+07	1.34437e+07	1.31952e+07	1.28391e+07
P00956	P00956		ileS		2.28606e+07	2.43641e+07	2.45377e+07	2.41525e+07	2.27145e+07	2.32956e+07
P00957	P00957		alaS		1.39991e+07	1.43148e+07	1.42832e+07	1.44818e+07	1.44762e+07	1.37554e+07
P00959	P00959		metG		1.74965e+07	1.78028e+07	1.77756e+07	1.80912e+07	1.73621e+07	1.74306e+07
P00960	P00960		glyQ		5.11966e+06	4.79477e+06	4.66748e+06	4.73792e+06	4.82751e+06	4.95941e+06
P00961	P00961		glyS		1.31648e+07	1.31816e+07	1.35643e+07	1.32746e+07	1.34716e+07	1.32576e+07
P00962	P00962		glnS		9.69501e+06	1.02292e+07	1.02707e+07	1.01987e+07	9.81647e+06	9.96316e+06
P00963	P00963		asnA		1.3879e+07	1.38914e+07	1.37154e+07	1.40191e+07	1.34692e+07	1.35064e+07
P00968	P00968		carB		4.13419e+06	4.20424e+06	4.35064e+06	4.24132e+06	4.23404e+06	4.1704e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)					1.23538e+06	1.25648e+06	1.19986e+06		
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)					1.47802e+06	1.44172e+06	1.35906e+06		
