Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AE01	P0AE01		trmJ		4.28163e+06	4.4071e+06	4.38476e+06	4.33297e+06	4.20486e+06	4.34752e+06
P0AE06	P0AE06		acrA		2.12246e+07	2.08973e+07	2.01554e+07	2.05528e+07	2.07084e+07	2.0409e+07
P0AE08	P0AE08		ahpC		2.52872e+07	2.5155e+07	2.53501e+07	2.51997e+07	2.51567e+07	2.51973e+07
P0AE12	P0AE12		amn		1.20443e+06	1.19831e+06	1.16576e+06	1.11156e+06	1.10259e+06	1.1911e+06
P0AE18	P0AE18		map		1.02778e+07	1.02768e+07	1.03978e+07	1.00033e+07	1.01218e+07	1.02662e+07
P0AE22	P0AE22		aphA		1.45209e+06	1.49776e+06	1.41517e+06	1.48428e+06	1.53675e+06	1.50515e+06
P0AE39	P0AE39		ypdB		1.7591e+06	1.88817e+06	1.82741e+06	1.78837e+06	1.87385e+06	1.8392e+06
P0AE45	P0AE45		ytfL		1.15774e+06	1.17055e+06	1.07584e+06	933749	1.16683e+06	931579
P0AE48	P0AE48		ytfP		5.00555e+06	4.94444e+06	4.97119e+06	4.89925e+06	4.79156e+06	5.05297e+06
P0AE52	P0AE52		bcp		2.03689e+07	2.03012e+07	1.95034e+07	1.90115e+07	1.89367e+07	1.97637e+07
P0AE60	P0AE60		cedA		1.76971e+06	1.79015e+06	1.82318e+06	1.77315e+06	1.65679e+06	1.69019e+06
P0AE67	P0AE67		cheY		1.635e+06	1.62618e+06	1.4313e+06	1.54073e+06	1.63343e+06	1.6003e+06
P0AE70	P0AE70		mazF		3.12724e+06	2.43606e+06	2.47914e+06	3.05556e+06	3.01282e+06	2.86572e+06
P0AE74	P0AE74		citT		736406	723751	679686	695776	766087	767168
P0AE78	P0AE78		corC		2.36715e+06	2.16046e+06	2.20272e+06	2.39839e+06	2.49131e+06	2.32789e+06
P0AE82	P0AE82		cpxA		1.71555e+06	1.6351e+06	1.62432e+06	1.58918e+06	1.62179e+06	1.69858e+06
P0AE85	P0AE85		cpxP		835922	927907	949554	785389	749590	839091
P0AE88	P0AE88		cpxR		4.40616e+06	4.47889e+06	4.30694e+06	4.31009e+06	4.34698e+06	4.23746e+06
P0AE91	P0AE91		creA		3.46755e+06	3.42177e+06	3.59349e+06	3.53266e+06	3.65684e+06	3.61066e+06
P0AEA8	P0AEA8		cysG		1.66746e+06	1.64235e+06	1.64074e+06	1.84989e+06	1.79209e+06	1.80866e+06
P0AEB2	P0AEB2		dacA		7.73858e+06	7.85592e+06	7.96373e+06	8.07753e+06	8.18354e+06	8.02021e+06
P0AEB7	P0AEB7		yoaB		1.17765e+07	1.14059e+07	1.25712e+07	1.09539e+07	1.08921e+07	1.04022e+07
P0AEC0	P0AEC0		yoaE		384363	395954	412663	349538	382087	416444
P0AEC3	P0AEC3		arcB		1.0837e+06	1.02022e+06	1.15522e+06	1.12322e+06	1.04776e+06	1.12826e+06
P0AEC8	P0AEC8		dcuS		659648		549757	523802	414271	357227
P0AED0	P0AED0		uspA		1.45902e+07	1.38239e+07	1.40559e+07	1.40883e+07	1.51815e+07	1.48895e+07
P0AED5	P0AED5		uvrY		3.73753e+06	3.76085e+06	3.7331e+06	3.89761e+06	4.00797e+06	3.81934e+06
P0AED7	P0AED7		dapE		6.20412e+06	5.99116e+06	6.10535e+06	6.55263e+06	6.33542e+06	6.43151e+06
P0AED9	P0AED9		dcm		423560	359562	360940	389924	352738	327899
P0AEE1	P0AEE1		dcrB		8.46083e+06	8.2691e+06	8.51034e+06	8.34707e+06	8.40121e+06	7.90331e+06
P0AEE3	P0AEE3		degS		814889	788144	757062	735996	859880	835686
P0AEE5	P0AEE5		mglB		2.1628e+06	2.24991e+06	2.24745e+06	2.36494e+06	2.25242e+06	2.24596e+06
P0AEE8	P0AEE8		dam		531844	492491	598080	506591	479238	507210
P0AEF0	P0AEF0		dnaC		6.40681e+06	6.67161e+06			3.18901e+06	
P0AEF4	P0AEF4		dpiA		1.06334e+06	1.03302e+06	1.03739e+06	1.10913e+06	1.07266e+06	1.08465e+06
P0AEG4	P0AEG4		dsbA		3.8789e+06	4.01989e+06	3.59779e+06	3.7168e+06	3.49913e+06	3.77459e+06
P0AEG6	P0AEG6		dsbC		3.10754e+06	2.71656e+06	3.1787e+06	3.11292e+06	3.43613e+06	3.38579e+06
P0AEH1	P0AEH1		rseP		8.96684e+06	8.78003e+06	7.80093e+06	8.78213e+06	8.59351e+06	8.51114e+06
P0AEH5	P0AEH5		elaB		8.28502e+06	8.5415e+06	8.69379e+06	9.53686e+06	9.49e+06	9.2866e+06
P0AEI1	P0AEI1		miaB		1.17521e+07	1.17032e+07	1.19118e+07	1.14828e+07	1.12558e+07	1.1597e+07
