Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P03817	P03817		mioC		6.82436e+06	6.99119e+06	6.4681e+06	6.60216e+06	6.89234e+06	6.76901e+06
P03841	P03841		malM		9.44545e+06	9.53e+06	9.5309e+06	9.55914e+06	9.76559e+06	9.30833e+06
P04036	P04036		dapB		4.94475e+06	5.29997e+06	5.34794e+06	4.95705e+06	4.95621e+06	5.46505e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				1.10348e+07	1.66183e+07	1.62405e+07	1.12024e+07	1.13544e+07	1.65495e+07
P04079	P04079		guaA		1.81152e+07	1.76733e+07	1.78939e+07	1.81344e+07	1.83789e+07	1.75334e+07
P04335	P04335		frsA		4.26665e+06	4.30486e+06	4.24451e+06	4.05282e+06	4.28077e+06	4.08226e+06
P04425	P04425		gshB		1.25098e+07	1.2118e+07	1.22559e+07	1.24934e+07	1.24633e+07	1.24902e+07
P04693	P04693		tyrB		3.71816e+06	3.89564e+06	4.08252e+06	3.8356e+06	3.76471e+06	4.02533e+06
P04805	P04805		gltX		2.03418e+07	2.15333e+07	2.17128e+07	2.05494e+07	2.11434e+07	2.1588e+07
P04825	P04825		pepN		1.4427e+07	1.52934e+07	1.50922e+07	1.44261e+07	1.47675e+07	1.55168e+07
P04846	P04846		nlpA		3.00842e+06	3.18679e+06	3.28321e+06	3.19261e+06	3.15956e+06	3.32734e+06
P04949	P04949		fliC		3.40921e+07	3.17238e+07	3.19079e+07	3.55381e+07	3.33362e+07	3.1274e+07
P04951	P04951		kdsB		6.0654e+06	6.23843e+06	6.29172e+06	5.97159e+06	6.37472e+06	6.47337e+06
P04982	P04982		rbsD		1.20392e+06	1.19995e+06	1.24842e+06	1.30482e+06	1.25971e+06	1.23213e+06
P04995	P04995		sbcB		1.05971e+07	9.88576e+06	1.03576e+07	1.13312e+07	1.13765e+07	1.04195e+07
P05020	P05020		pyrC		6.02536e+06	5.94896e+06	5.91809e+06	5.79095e+06	6.11605e+06	5.96097e+06
P05041	P05041		pabB		1.98978e+06	1.9584e+06	1.86936e+06	1.85951e+06	1.89016e+06	1.85308e+06
P05055	P05055		pnp		3.55551e+07	3.70303e+07	3.54595e+07	3.52951e+07	3.55607e+07	3.53839e+07
P05100	P05100		tag		1.84859e+06	1.90726e+06	2.04217e+06	1.73515e+06	1.7347e+06	1.81318e+06
P05194	P05194		aroD		1.11141e+06	1.25783e+06	1.12938e+06	1.04877e+06	1.07689e+06	1.22417e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)					1.64535e+07	1.6784e+07			1.65065e+07
P05458	P05458		ptrA		820972	777856	848284	848313	807387	860692
P05459	P05459		pdxB		5.81172e+06	5.77355e+06	5.61347e+06	5.80091e+06	5.84252e+06	6.04949e+06
P05637	P05637		apaH		1.40175e+06	1.44783e+06	1.50901e+06	1.31229e+06	1.44975e+06	1.45801e+06
P05719	P05719		hsdS		1.13466e+06	995516	1.15199e+06	1.12427e+06	1.09586e+06	927246
P05791	P05791		ilvD		3.48331e+06	3.57008e+06	3.41986e+06	3.29327e+06	3.4239e+06	3.47823e+06
P05793	P05793		ilvC		5.32737e+06	5.01388e+06	5.02587e+06	5.38975e+06	5.47459e+06	5.20955e+06
P05825	P05825		fepA		1.73168e+06	1.63515e+06	1.7553e+06	1.76706e+06	1.78711e+06	1.64267e+06
P05852	P05852		gcp		2.40639e+06	2.18869e+06	2.2442e+06	2.26996e+06	2.20932e+06	2.28407e+06
P06129	P06129		btuB		1.3712e+07	1.4214e+07	1.38645e+07	1.41486e+07	1.40099e+07	1.32325e+07
P06149	P06149		dld		6.51667e+06	6.63244e+06	6.79431e+06	6.384e+06	6.16392e+06	6.65552e+06
P06282	P06282		cdh		1.43183e+06	1.50263e+06	1.54445e+06	1.44156e+06	1.49559e+06	1.59391e+06
