Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A7M6	P0A7M6		rpmC		2.38477e+07	2.34784e+07	2.62545e+07	2.52818e+07	2.32038e+07	2.73997e+07
P0A7M9	P0A7M9		rpmE		8.39209e+07	8.49923e+07	8.08519e+07	8.02835e+07	8.37367e+07	7.9259e+07
P0A7N4	P0A7N4		rpmF		4.36991e+07	4.44506e+07	3.90703e+07	3.92931e+07	4.54134e+07	4.07832e+07
P0A7N9	P0A7N9		rpmG		1.26721e+08	1.27663e+08	1.13723e+08	1.04421e+08	1.2602e+08	1.14549e+08
P0A7P5	P0A7P5		rpmH		2.74321e+07	2.67974e+07	2.85767e+07	2.6755e+07	2.70147e+07	2.63339e+07
P0A7Q1	P0A7Q1		rpmI		8.59904e+06	8.55932e+06	6.65832e+06	6.54364e+06	9.30829e+06	5.60196e+06
P0A7R1	P0A7R1		rplI		3.09836e+08	3.1261e+08	3.04225e+08	2.99355e+08	3.16364e+08	3.0086e+08
P0A7R5	P0A7R5		rpsJ		1.81238e+08	1.76784e+08	1.66542e+08	1.64856e+08	1.74507e+08	1.63706e+08
P0A7R9	P0A7R9		rpsK		1.07517e+08	1.08773e+08	1.01724e+08	1.02948e+08	1.099e+08	1.00967e+08
P0A7S3	P0A7S3		rpsL		7.28967e+07	7.25503e+07	7.74012e+07	7.39558e+07	7.33256e+07	7.47939e+07
P0A7S9	P0A7S9		rpsM		3.74005e+07	3.74413e+07	3.81437e+07	3.72739e+07	3.79326e+07	3.7046e+07
