Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.62833e+06	2.60144e+06				2.47038e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.46473e+06	4.46519e+06				4.34095e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.05129e+06	4.16317e+06				3.83736e+06
P00350	P00350		gnd		3.5079e+07	3.45024e+07	3.39744e+07	3.46304e+07	3.44665e+07	3.44147e+07
P00363	P00363		frdA		4.92286e+07	4.84747e+07	4.58138e+07	4.69187e+07	4.66716e+07	4.59073e+07
P00370	P00370		gdhA		1.94793e+06	1.90914e+06	1.95506e+06	1.94923e+06	1.97943e+06	1.95155e+06
P00393	P00393		ndh		6.16154e+06	6.0973e+06	6.07348e+06	6.03237e+06	6.08915e+06	5.91494e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.98191e+06	1.96927e+06	708526	1.10698e+06		1.53214e+06
P00448	P00448		sodA		2.61413e+06	2.62968e+06	2.5538e+06	2.60461e+06	2.58754e+06	2.67894e+06
P00452	P00452		nrdA		6.83128e+06	6.86172e+06	6.85252e+06	6.84051e+06	6.8483e+06	6.76333e+06
P00490	P00490		malP		5.49227e+06	5.50588e+06	5.48218e+06	5.42405e+06	5.38507e+06	5.33487e+06
P00509	P00509		aspC		1.86578e+07	1.86584e+07	1.83738e+07	1.84472e+07	1.81957e+07	1.83794e+07
P00550	P00550		mtlA		1.91343e+06	1.94906e+06	1.81296e+06	1.91876e+06	1.82292e+06	1.56911e+06
P00561	P00561		thrA		3.20832e+06	3.16679e+06	3.17986e+06	3.20289e+06	3.26468e+06	3.20096e+06
P00562	P00562		metL		2.87527e+06	2.90697e+06	2.75503e+06	2.88107e+06	2.85719e+06	2.9252e+06
P00579	P00579		rpoD		8.77192e+06	8.66412e+06	8.18201e+06	8.06526e+06	8.42052e+06	8.60151e+06
P00582	P00582		polA		6.96503e+06	6.63038e+06	7.05165e+06	6.89648e+06	6.86288e+06	6.63495e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.22712e+06	1.10267e+06	352046			861990
P00803	P00803		lepB		4.02864e+06	3.95827e+06	3.98138e+06	4.0371e+06	3.74e+06	4.4755e+06
P00805	P00805		ansB		8.09838e+06	8.05131e+06	8.3316e+06	8.27673e+06	8.16126e+06	7.35327e+06
P00811	P00811		ampC		2.24948e+06	2.38196e+06	2.12699e+06	2.27706e+06	2.17269e+06	
P00864	P00864		ppc		1.12743e+07	1.11894e+07	1.11294e+07	1.0961e+07	1.0871e+07	1.05257e+07
P00887	P00887		aroH		1.66216e+06	1.71864e+06	1.73337e+06	1.76066e+06	1.74947e+06	1.72413e+06
P00888	P00888		aroF		1.90372e+06	1.86918e+06	1.87901e+06	1.9076e+06	1.83684e+06	1.89574e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				8.53048e+06	8.59432e+06	4.75134e+06			8.04336e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.18937e+06	5.28111e+06				5.27848e+06
P00934	P00934		thrC		4.35859e+06	4.32806e+06	4.4907e+06	4.35639e+06	4.50233e+06	4.10317e+06
P00936	P00936		cyaA		792024	862936	794410	828516	776665	866991
P00946	P00946		manA		1.10716e+07	1.08935e+07	1.09959e+07	1.10633e+07	1.11041e+07	1.12561e+07
P00954	P00954		trpS		1.44862e+07	1.42553e+07	1.31684e+07	1.32582e+07	1.27885e+07	1.371e+07
P00956	P00956		ileS		2.09742e+07	2.05564e+07	1.99915e+07	2.0158e+07	2.00117e+07	1.9522e+07
P00957	P00957		alaS		1.54888e+07	1.53364e+07	1.49514e+07	1.5162e+07	1.47158e+07	1.43582e+07
P00959	P00959		metG		1.79114e+07	1.79516e+07	1.75813e+07	1.72958e+07	1.77345e+07	1.71124e+07
P00960	P00960		glyQ		4.06252e+06	4.06963e+06	4.09715e+06	4.09672e+06	3.93272e+06	4.05314e+06
P00961	P00961		glyS		1.13543e+07	1.13305e+07	1.08462e+07	1.11504e+07	1.10236e+07	1.05814e+07
P00962	P00962		glnS		1.02203e+07	1.02405e+07	9.79868e+06	9.84569e+06	9.76344e+06	9.49934e+06
P00963	P00963		asnA		2.20932e+07	2.16561e+07	1.94761e+07	1.99603e+07	1.99155e+07	1.99589e+07
P00968	P00968		carB		4.44941e+06	4.35717e+06	4.31361e+06	4.55556e+06	4.28387e+06	4.44374e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				3.88995e+06	3.87563e+06			3.41176e+06	3.84852e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.19927e+06	5.17232e+06				4.95212e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				3.54852e+06	3.70923e+06	1.01799e+06			3.18967e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5.51704e+06	5.35814e+06				5.49058e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3.43714e+06	3.34587e+06				3.76038e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7.04632e+06	7.16342e+06				7.44818e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.51127e+06	1.54112e+06				1.58482e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				3.5823e+06	3.62297e+06			2.62369e+06	3.41105e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				4.32778e+06	4.38798e+06				3.82641e+06
P02358	P02358		rpsF		1.17415e+08	1.13748e+08	1.05602e+08	1.08164e+08	1.0708e+08	8.78424e+07
P02359	P02359		rpsG		1.46523e+08	1.47883e+08	1.4532e+08	1.45493e+08	1.43988e+08	1.38968e+08
P02413	P02413		rplO		1.24016e+08	1.2245e+08	1.22581e+08	1.20269e+08	1.23602e+08	1.14026e+08
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				743084	640456	739944	788644	822997	714222
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8.84651e+06	8.85356e+06				8.67657e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				6.82349e+06	6.72128e+06	2.38288e+06	2.96318e+06	1.00485e+06	6.28162e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				3.93364e+06	3.95044e+06	2.5904e+06	2.35664e+06		3.97104e+06
P02918	P02918		mrcA		1.29619e+06	1.21816e+06	1.34505e+06	1.30102e+06	1.34429e+06	1.28024e+06
P02919	P02919		mrcB		1.84229e+06	1.69587e+06	1.70185e+06	1.71238e+06	1.72139e+06	1.64062e+06
P02925	P02925		rbsB		5.79762e+06	5.848e+06	5.83449e+06	5.88292e+06	5.79839e+06	5.68398e+06
P02930	P02930		tolC		2.40771e+07	2.41598e+07	2.43586e+07	2.48445e+07	2.35041e+07	2.43692e+07
P02931	P02931		ompF		3.58999e+07	3.5873e+07	3.62591e+07	3.69748e+07	3.58859e+07	3.74846e+07
P02942	P02942		tsr		1.10032e+07	1.06386e+07	1.06612e+07	1.06912e+07	1.08798e+07	1.05273e+07
P02943	P02943		lamB		1.5386e+06	1.57262e+06	1.36108e+06	1.40299e+06	1.50769e+06	1.51962e+06
P03004	P03004		dnaA		2.24438e+06	2.33963e+06	2.28904e+06	2.23506e+06	2.48329e+06	2.35824e+06
P03007	P03007		dnaQ		721736	870388	843557	805617	873526	576859
