Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P76015	P76015		dhaK		2.42572e+06	2.32276e+06	2.28481e+06	2.43449e+06	2.28759e+06	2.33138e+06
P76027	P76027		oppD		1.06412e+06	969067	1.00739e+06	1.05989e+06	1.02757e+06	1.06731e+06
P76034	P76034		yciT		1.35792e+06	1.33341e+06	1.31102e+06	1.31938e+06	1.29328e+06	1.26853e+06
P76053	P76053		smrA		315970	507077	401584	407846	368170	422280
P76055	P76055		ttcA		1.9937e+06	1.69734e+06	1.96688e+06	1.99135e+06	1.92011e+06	1.83906e+06
P76104	P76104		ydcP		581710	607212	581626	784453	572836	633294
P76112	P76112		yncA		1.33906e+06	1.3945e+06	1.30352e+06	1.27592e+06	1.3818e+06	1.26386e+06
P76116	P76116		yncE		4.42367e+06	4.43234e+06	4.56324e+06	4.39044e+06	4.30881e+06	4.208e+06
P76170	P76170		ynfB		2.20265e+06	2.41617e+06	2.44418e+06	2.38673e+06	2.45567e+06	2.3923e+06
P76177	P76177		ydgH		1.4799e+07	1.39984e+07	1.49091e+07	1.47138e+07	1.37713e+07	1.38136e+07
P76187	P76187		ydhF		2.30629e+06	2.6499e+06	2.26911e+06	2.37245e+06	2.60846e+06	2.8649e+06
P76192	P76192		ydhV		1.56401e+06	1.64596e+06	1.57217e+06	1.54203e+06	1.5795e+06	1.6068e+06
P76193	P76193		ynhG		1.84321e+06	1.71983e+06	1.69771e+06	1.73568e+06	1.58982e+06	1.60366e+06
P76220	P76220		ydjY		547432	567142	688255	580568	477889	565018
P76223	P76223		ynjB		2.03051e+06	2.00466e+06	1.98071e+06	2.04805e+06	1.89121e+06	1.97548e+06
P76227	P76227		ynjH		3.43002e+06	3.57884e+06	3.39661e+06	3.44407e+06	3.43468e+06	3.49832e+06
P76243	P76243		yeaO		1.86783e+06	1.85713e+06	1.93663e+06	1.80107e+06	1.76071e+06	1.989e+06
P76245	P76245		yeaP		767330	788068	665107	738169	725084	745721
P76256	P76256		yeaZ		1.97255e+06	1.95679e+06	2.03564e+06	2.03151e+06	1.85568e+06	1.81258e+06
P76268	P76268		kdgR		6.2178e+06	6.57013e+06	6.18557e+06	6.31621e+06	6.47967e+06	6.55267e+06
P76270	P76270		msrC		3.2406e+06	2.83926e+06	3.02837e+06	2.96906e+06	2.9737e+06	2.9544e+06
P76290	P76290		cmoA		2.10943e+06	2.11252e+06	2.15115e+06	2.0647e+06	2.13054e+06	2.15474e+06
P76291	P76291		cmoB		1.82067e+06	1.93671e+06	1.83454e+06	1.89813e+06	2.03155e+06	2.17286e+06
P76316	P76316		dcyD		2.38809e+06	2.4813e+06	2.46587e+06	2.6424e+06	2.3937e+06	2.64929e+06
P76342	P76342		yedY		705687	1.20978e+06	709840	718635	1.10148e+06	1.07771e+06
P76346	P76346		mtfA		1.23912e+06	1.14598e+06	1.23266e+06	1.21426e+06	1.10207e+06	1.06679e+06
P76372	P76372		wzzB		7.99371e+06	8.37036e+06	7.34697e+06	7.95166e+06	7.62415e+06	8.36156e+06
P76402	P76402		yegP		3.35567e+06	3.50869e+06	3.53478e+06	3.49856e+06	3.30619e+06	3.36742e+06
P76403	P76403		yegQ		2.76727e+06	2.42906e+06	2.65106e+06	2.65196e+06	2.47645e+06	2.49737e+06
P76440	P76440		preT		1.13478e+06	1.19068e+06	1.10701e+06	1.05522e+06	1.10443e+06	1.085e+06
P76445	P76445		yeiU		1.53449e+06	1.90654e+06	1.81273e+06	1.72828e+06	1.94348e+06	2.22505e+06
P76491	P76491		yfbR		693834	705009	629883	668832	677259	657296
P76502	P76502		sixA		6.48145e+06	6.79169e+06	6.85116e+06	6.70928e+06	6.8989e+06	6.85371e+06
P76506	P76506		mlaA		7.02071e+06	6.89991e+06	6.9637e+06	7.05257e+06	6.99583e+06	7.37026e+06
P76535	P76535		murQ		1.74856e+06	1.5992e+06	2.00165e+06	1.78851e+06	1.66162e+06	1.71171e+06
P76536	P76536		yfeX		8.698e+06	8.07017e+06	8.92706e+06	8.82466e+06	8.4931e+06	8.55187e+06
