Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A6W5	P0A6W5		greA		2.52482e+07	2.49012e+07	2.42395e+07	2.45944e+07	2.45288e+07	2.36407e+07
P0A6W9	P0A6W9		gshA		5.64298e+06	5.14933e+06	5.69677e+06	5.10759e+06	5.63212e+06	5.11137e+06
P0A6X1	P0A6X1		hemA		253417	278812	242408	215520	284060	324720
P0A6X3	P0A6X3		hfq		665649	1.07747e+06	889588	1.2615e+06	730025	1.3855e+06
P0A6X7	P0A6X7		ihfA		4.43693e+07	5.05648e+07	4.62046e+07	4.83269e+07	4.54425e+07	5.10583e+07
P0A6Y1	P0A6Y1		ihfB		1.15811e+07	1.0815e+07	1.09269e+07	1.20557e+07	1.07297e+07	1.15339e+07
P0A6Y5	P0A6Y5		hslO		6.06944e+06	6.47112e+06	6.3367e+06	6.72252e+06	6.10689e+06	6.83313e+06
P0A6Y8	P0A6Y8		dnaK		4.18636e+07	4.16412e+07	4.22646e+07	4.12942e+07	4.12124e+07	4.14368e+07
P0A6Z1	P0A6Z1		hscA		5.20972e+06	4.95452e+06	5.20909e+06	4.83883e+06	5.07648e+06	4.96733e+06
P0A6Z3	P0A6Z3		htpG		2.84456e+07	2.87101e+07	2.87106e+07	2.81579e+07	2.84376e+07	2.91914e+07
P0A6Z6	P0A6Z6		nikR		1.19104e+06	878263	1.25392e+06	1.20067e+06	1.07959e+06	1.17735e+06
P0A705	P0A705		infB		2.14222e+07	2.16295e+07	2.06506e+07	2.14196e+07	2.0743e+07	2.20535e+07
P0A707	P0A707		infC		4.77694e+07	4.85094e+07	4.72717e+07	4.65356e+07	4.6976e+07	4.24216e+07
P0A715	P0A715		kdsA		2.19945e+07	2.29112e+07	2.18621e+07	2.34446e+07	2.20116e+07	2.30814e+07
