Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P77690	P77690		arnB		704165	767049	897262	802112	896132	698414
P77717	P77717		ybaY		1.55134e+06	1.64787e+06	1.55763e+06	1.59752e+06	1.4432e+06	1.43226e+06
P77718	P77718		thiI		2.46541e+06	2.42969e+06	2.39743e+06	2.3574e+06	2.40564e+06	2.42395e+06
P77735	P77735		yajO		4.08316e+06	4.16326e+06	3.84555e+06	3.76671e+06	4.02725e+06	4.12482e+06
P77737	P77737		oppF		1.92565e+06	1.44964e+06	1.71386e+06	1.782e+06	1.54647e+06	1.54898e+06
P77739	P77739		yniA		1.02562e+06	1.05492e+06	993586	1.00686e+06	1.00799e+06	1.09038e+06
P77748	P77748		ydiJ		1.01258e+06	992408	1.0022e+06	957150	985180	1.03366e+06
P77754	P77754		spy		1.02941e+06		1.2606e+06	1.04525e+06	1.32953e+06	829650
P77756	P77756		queC		1.37593e+06	1.46848e+06	1.51958e+06	1.30496e+06	1.56528e+06	1.57735e+06
P77774	P77774		bamB		1.72506e+07	1.58221e+07	1.62879e+07	1.67558e+07	1.55545e+07	1.63592e+07
P77804	P77804		ydgA		9.26226e+06	8.80541e+06	9.50602e+06	9.33074e+06	9.63257e+06	9.70228e+06
P77808	P77808		yfaY		2.11881e+06	2.32862e+06	2.22684e+06	2.14122e+06	2.09894e+06	2.19547e+06
P78067	P78067		ynjE		2.95709e+06	3.08445e+06	2.67909e+06	3.16011e+06	2.86944e+06	2.55166e+06
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)				3.35697e+06	3.25949e+06		3.10299e+06		
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				4.6387e+06	4.81769e+06		4.73169e+06		
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1.18078e+07	1.15655e+07		1.17847e+07		
Q2M7M3	Q2M7M3		ysaB		971637	1.49516e+06	1.22464e+06	1.36119e+06	1.50713e+06	1.46953e+06
Q2M7R5	Q2M7R5		yibT		2.41503e+06	2.27795e+06	2.20897e+06	2.3016e+06	2.48263e+06	2.30202e+06
Q46798	Q46798		ygeR		699386	704273	705127	735230	555786	617529
Q46829	Q46829		bglA		1.4306e+07	1.38587e+07	1.27468e+07	1.44382e+07	1.32822e+07	1.31216e+07
Q46835	Q46835		yghG		1.12619e+06	915873	963542	1.1381e+06	1.1374e+06	1.09357e+06
Q46845	Q46845		yghU		540859	643860	692988	614561	644134	619405
Q46856	Q46856		yqhD		4.13256e+06	4.28974e+06	4.30656e+06	4.30408e+06	4.19625e+06	4.30651e+06
Q46857	Q46857		dkgA		4.97307e+06	5.14842e+06	5.23211e+06	5.35099e+06	5.04336e+06	5.20383e+06
Q46868	Q46868		yqiC		9.64855e+06	9.64275e+06	1.05885e+07	9.69344e+06	1.04526e+07	1.01462e+07
Q46871	Q46871		yqjH		3.99357e+06	4.04759e+06	3.91423e+06	4.01674e+06	3.90352e+06	3.86954e+06
Q46893	Q46893		ispD		2.06079e+06	1.9735e+06	1.80679e+06	1.97882e+06	1.79624e+06	1.99942e+06
Q46919	Q46919		yqcC		604407	601380	474419	504953	414579	426108
Q46920	Q46920		queF		4.7507e+06	4.50239e+06	4.61452e+06	4.72223e+06	4.70453e+06	4.51904e+06
Q46925	Q46925		csdA		988778	1.01637e+06	1.05123e+06	950267	1.07756e+06	1.03602e+06
Q46927	Q46927		ygdL		1.46206e+06	1.49261e+06	1.35342e+06	1.5763e+06	1.60167e+06	1.5025e+06
Q46948	Q46948		yajL		4.627e+06	4.61525e+06	4.66758e+06	4.67885e+06	4.42804e+06	4.42673e+06
Q47147	Q47147		yafJ		665559	753738	735696	712601	784780	792439
Q47319	Q47319		yfiP		582841	588234	586915	615869	635219	650020
Q47622	Q47622		sapA		1.15097e+06	1.14854e+06	1.29523e+06	1.04123e+06	1.14149e+06	1.10426e+06
Q47679	Q47679		yafV		919800	769988	874791	862870	873379	894977
Q57261	Q57261		truD		4.5275e+06	4.24387e+06	4.26858e+06	4.297e+06	4.28848e+06	4.15914e+06
Q59385	Q59385		copA		5.30133e+06	5.23169e+06	5.81968e+06	5.45639e+06	6.02128e+06	5.57944e+06
Q93K97	Q93K97		nudF		2.97252e+06	2.78846e+06	2.94476e+06	2.77425e+06	2.90439e+06	3.0943e+06
