Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.67689e+06	1.59242e+06	1.65841e+06	349756	282984	
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.60982e+06	2.68482e+06	2.39581e+06	601958	684753	770855
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.96004e+06	2.83942e+06	2.91713e+06			
P00350	P00350		gnd		3.87546e+07	3.87179e+07	3.84557e+07	3.89048e+07	3.8749e+07	3.91236e+07
P00363	P00363		frdA		2.44636e+07	2.43994e+07	2.40011e+07	2.5023e+07	2.49323e+07	2.49132e+07
P00370	P00370		gdhA		2.06318e+06	2.03591e+06	2.02195e+06	2.10661e+06	2.13376e+06	2.16879e+06
P00393	P00393		ndh		5.34153e+06	5.33145e+06	5.38896e+06	5.31335e+06	5.29247e+06	5.23934e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.94841e+06	1.86967e+06	1.79755e+06	1.26553e+06	898526	1.02456e+06
P00448	P00448		sodA		3.68998e+06	3.73828e+06	3.65839e+06	3.7772e+06	3.61186e+06	3.69306e+06
P00452	P00452		nrdA		9.69883e+06	9.60915e+06	9.74309e+06	9.83671e+06	9.78492e+06	9.85651e+06
P00490	P00490		malP		5.06076e+06	5.11545e+06	5.10825e+06	4.92132e+06	4.82846e+06	4.84295e+06
P00509	P00509		aspC		1.97213e+07	1.94255e+07	1.93547e+07	1.93806e+07	1.92908e+07	1.916e+07
P00547	P00547		thrB		854136	808750	851345	1.00135e+06	886389	909050
P00550	P00550		mtlA		2.15716e+06	2.07979e+06	2.07278e+06	2.23755e+06	2.06908e+06	2.07048e+06
P00561	P00561		thrA		3.19468e+06	3.20738e+06	3.37819e+06	3.41236e+06	3.41409e+06	3.50328e+06
P00562	P00562		metL		3.12733e+06	3.08953e+06	3.149e+06	2.92194e+06	3.0276e+06	3.05084e+06
P00579	P00579		rpoD		8.95592e+06	8.62128e+06	8.70751e+06	8.90136e+06	8.86853e+06	9.03701e+06
P00582	P00582		polA		3.74574e+06	3.73274e+06	3.61002e+06	3.56294e+06	3.58288e+06	3.50262e+06
P00722	P00722		lacZ		3.86387e+06	3.82626e+06	3.88547e+06	3.3506e+06	3.72179e+06	3.23583e+06
P00803	P00803		lepB		4.73896e+06	5.05543e+06	5.01053e+06	5.23693e+06	5.01766e+06	5.16733e+06
P00805	P00805		ansB		2.24665e+07	2.23768e+07	2.25966e+07	2.22608e+07	2.25107e+07	2.2488e+07
P00811	P00811		ampC		1.00387e+06	1.00927e+06	899088	1.06503e+06	997375	1.01603e+06
P00864	P00864		ppc		1.02805e+07	1.01979e+07	1.00035e+07	1.03149e+07	1.02848e+07	1.04948e+07
P00887	P00887		aroH		1.72178e+06	1.75547e+06	1.75413e+06	1.52594e+06	1.58685e+06	1.46811e+06
P00888	P00888		aroF		2.14451e+06	2.11978e+06	2.11441e+06	2.12337e+06	2.19535e+06	2.16477e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.82886e+07	1.802e+07	1.82993e+07	7.21322e+06	1.45621e+07	1.52388e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3.63124e+06	3.67666e+06	3.65181e+06	797711	825558	920810
P00926	P00926		dsdA		1.45281e+06	1.41593e+06	1.43663e+06	1.46168e+06	1.30024e+06	1.29978e+06
P00934	P00934		thrC		4.99252e+06	4.82602e+06	4.82536e+06	4.6331e+06	4.74026e+06	4.37912e+06
P00935	P00935		metB		1.00135e+06	827401	963122	867922	848103	834668
P00946	P00946		manA		1.12159e+07	1.13417e+07	1.13155e+07	1.16344e+07	1.16211e+07	1.18917e+07
P00954	P00954		trpS		5.52283e+06	5.4209e+06	5.31196e+06	5.48991e+06	5.48493e+06	5.37416e+06
P00956	P00956		ileS		2.08889e+07	2.07243e+07	2.07186e+07	2.0814e+07	2.0981e+07	2.11154e+07
P00957	P00957		alaS		1.48518e+07	1.4861e+07	1.46729e+07	1.49389e+07	1.48946e+07	1.46446e+07
P00959	P00959		metG		1.92376e+07	1.92467e+07	1.92965e+07	1.95384e+07	1.98041e+07	1.96343e+07
P00960	P00960		glyQ		4.42497e+06	4.35063e+06	4.55836e+06	4.22921e+06	4.26063e+06	4.04232e+06
P00961	P00961		glyS		1.20501e+07	1.18518e+07	1.18827e+07	1.21606e+07	1.2143e+07	1.20706e+07
P00962	P00962		glnS		1.53432e+07	1.52551e+07	1.51275e+07	1.52907e+07	1.48087e+07	1.48654e+07
P00963	P00963		asnA		2.57815e+07	2.54359e+07	2.68964e+07	2.58793e+07	2.55637e+07	2.53852e+07
