Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P31475	P31475		yieP		1.46514e+06	1.43915e+06	1.44802e+06	1.49661e+06	1.41496e+06	1.37726e+06
P31545	P31545		efeB		1.10035e+06	1.11602e+06	1.1119e+06	1.12324e+06	1.07171e+06	1.0993e+06
P31550	P31550		thiB		1.76007e+06	1.86429e+06	1.79205e+06	1.75979e+06	1.80868e+06	1.76234e+06
P31551	P31551		caiD		1.32021e+06	1.19954e+06	1.13946e+06	1.21064e+06	1.33884e+06	1.0812e+06
P31554	P31554		lptD		7.06093e+06	7.1381e+06	7.30833e+06	7.19557e+06	7.2309e+06	7.34437e+06
P31658	P31658		hchA		1.07981e+07	1.14097e+07	1.1114e+07	1.10417e+07	1.11687e+07	1.09286e+07
P31663	P31663		panC		3.0879e+06	3.11295e+06	3.03914e+06	3.18641e+06	2.98464e+06	3.23485e+06
P31678	P31678		otsB			794106	782317	873816	760192	
P31680	P31680		djlA		1.58689e+06	1.45147e+06	1.48405e+06	1.50347e+06	1.64375e+06	1.58253e+06
P31697	P31697		fimC		4.33286e+06	4.51465e+06	4.68245e+06	4.37268e+06	4.57745e+06	4.59079e+06
P31802	P31802		narP		3.288e+06	3.27947e+06	3.03856e+06	3.01916e+06	2.99219e+06	3.21122e+06
P31806	P31806		nnr		874282	866505	843234	786234	801925	780929
P31808	P31808		yciK		3.33157e+06	3.50892e+06	3.40545e+06	3.38206e+06	3.41788e+06	3.33331e+06
P31825	P31825		yfiC		637311	708532	701742	713931	611287	706833
P31979	P31979		nuoF		1.05187e+07	1.05619e+07	1.06088e+07	1.02752e+07	1.04934e+07	1.0476e+07
P32099	P32099		lplA		3.83895e+06	3.78235e+06	4.04552e+06	3.49274e+06	4.35976e+06	4.12822e+06
P32131	P32131		hemN		3.72615e+06	3.72389e+06	3.73847e+06	3.606e+06	3.69476e+06	3.5348e+06
